Method,Direction,Accurate
Old,books-dvd,78.0890445222611
Old,books-elec,76.6766766766767
Old,books-kitchen,78.3891945972987
Old,dvd-books,78.8
Old,dvd-elec,76.3763763763764
Old,dvd-kitchen,78.2891445722861
Old,elec-books,74.75
Old,elec-dvd,73.9369684842421
Old,elec-kitchen,83.591795897949
Old,kitchen-books,74.75
Old,kitchen-dvd,74.4372186093047
Old,kitchen-elec,82.8828828828829
New,books-dvd,78.2391195597799
New,books-elec,78.3283283283283
New,books-kitchen,80.5902951475738
New,dvd-books,80.1
New,dvd-elec,78.4784784784785
New,dvd-kitchen,80.1400700350175
New,elec-books,75.05
New,elec-dvd,74.3371685842921
New,elec-kitchen,84.2921460730365
New,kitchen-books,75.2
New,kitchen-dvd,75.1375687843922
New,kitchen-elec,83.033033033033
